Cygwin Package Information
Package                             Version
perl-Net-HTTP                       6.07-1
perl-SGMLSpm                        1.03ii-3
perl-Socket                         2.018-1
perl-Tk                             804.031-1
perl-URI                            1.67-1
perl-WWW-RobotRules                 6.02-4
perl-XML-NamespaceSupport           1.11-4
perl-XML-Parser                     2.44-1
perl-XML-SAX                        0.99-4
perl-XML-SAX-Base                   1.08-4
perl_autorebase                     001001-1
perl_base                           5.14.4-3
pkg-config                          0.28-1
pl                                  6.6.6-1
pl-devel                            6.6.6-1
pl-xpce                             6.6.6-1
poppler                             0.26.5-2
poppler-data                        0.4.6-1
popt                                1.16-1
ppl                                 0.11.2-2
presentproto                        1.0-1
procps                              3.2.8-3
python                              2.7.8-1
python-cairo                        1.10.0-3
python-crypto                       2.6-1
python-gi                           3.14.0-1
python-gi-common                    3.14.0-1
python-tkinter                      2.7.8-1
python-xdg                          0.25-3
python3                             3.2.5-4
python3-chardet                     2.0.1-2
python3-lxml                        3.2.3-1
python3-markupsafe                  0.15-1
python3-numpy                       1.7.2-1
python3-openssl                     0.13.1-1
python3-pygments                    1.5-1
python3-setuptools                  0.6.34-1
python3-tkinter                     3.2.5-4
qt3-qtconfig                        3.3.8b-16
randrproto                          1.4.1-1
rebase                              4.4.1-1
recordproto                         1.14.2-1
rendercheck                         1.4-1
renderproto                         0.11.1-1
resourceproto                       1.2.0-1
rgb                                 1.0.5-1
rstart                              1.0.5-1
rsync                               3.1.1-1
run                                 1.3.3-1
rxvt-unicode                        9.20-1
scrnsaverproto                      1.2.2-2
sed                                 4.2.2-3
sessreg                             1.0.8-1
setxkbmap                           1.3.0-1
sgml-common                         0.6.3-3
shared-mime-info                    1.3-3
showfont                            1.0.4-1
smproxy                             1.0.5-1
sound-theme-freedesktop             0.7-1
sox-fmt-flac                        14.4.1-2
subversion                          1.8.11-1
t1lib5                              5.1.2-1
tar                                 1.27.1-1
tcl                                 8.5.11-1
tcl-tix                             8.4.3-2
tcl-tk                              8.5.11-1
tcm                                 2.20-1
tcsh                                6.18.01-6
ted                                 2.23-3
terminfo                            5.9-20150307-1
texi2html                           1.82-11
texinfo                             5.2-3
texlive                             20140523-3
texlive-collection-basic            20140523-2
texlive-collection-fontsrecommended 20140523-2
texlive-collection-htmlxml          20140523-2
texlive-collection-latex            20140523-2
tiff                                4.0.3-2
tiff-doc                            4.0.3-2
tiff-opengl                         4.0.3-2
time                                1.7-4
transfig                            3.2.5e-2
transset                            1.0.1-1
twm                                 1.0.8-1
tzcode                              2014j-1
ufraw                               0.19.2-2
unzip                               6.0-14
util-linux                          2.25.2-2
vala-libcanberra                    0.30-1
viewres                             1.0.4-1
vim                                 7.4.663-1
vim-common                          7.4.663-1
vim-minimal                         7.4.663-1
w32api-headers                      3.3.0-2
w32api-runtime                      3.3.0-1
wget                                1.16.3-1
which                               2.20-2
whois                               5.0.26-1
WindowMaker                         0.95.6-3
windows-default-manifest            6.4-1
windowswmproto                      1.0.4-1
wodim                               1.1.11-1
x11perf                             1.5.4-1
xauth                               1.0.9-1
xbitmaps                            1.1.1-1
xcb-proto                           1.10-1
xclipboard                          1.1.3-1
xclock                              1.0.7-1
xcmiscproto                         1.2.2-2
xcmsdb                              1.0.4-1
xcompmgr                            1.1.6-1
xconsole                            1.0.6-1
